date,user_id,pp_text,tag,like_point
2018-06-08T00:02:05.000Z,happyfamilymkt,happyfamilynightmarkethappyfamilymktHFNM2018asiannightmarketasianamericanasiandiasporabaesianslaysianfareastasiareorientazndotorydotorybkbugakeastwilliamsburgwilliamsburgeatskoreanamericankoreanfoodbibimbap,#happyfamilymkt #HFNM2018 #asiannightmarket #asianamerican #asiandiaspora #baesian #slaysian #fareastasia #reorient #azn #dotory #dotorybk #bugak #eastwilliamsburg #williamsburgeats #koreanamerican #koreanfood #bibimbap,0
2018-06-08T00:02:05.000Z,edlefkowicz_,I remember the shoot for the Times very wellAnd I went back for dinner with mywife great foodgreat hospitality,,0
2017-07-16T08:17:25.000Z,choreezo,Thanksasmartinseoul,,118
2017-07-16T08:17:25.000Z,choreezo,bugakseoulkoreacyclistcyclingbikebikesbikestagramroadsliketheselightbrofromwhereirideclimbingtrainingiamspecializedallezallezsprintspecializedoutsideisfreeforeverbuttphotosroadbikeattaquer,#seoul #korea #cyclist #cycling #bike #bikes #bikestagram #roadslikethese #lightbro #fromwhereiride #climbing #training #iamspecialized #allez #allezsprint #specialized #outsideisfree #foreverbuttphotos #roadbike #attaquer,0
2017-07-16T08:17:25.000Z,blammmmo,Way better,,1
2017-07-16T08:17:25.000Z,asmartinseoul,You re so shiny all star rainbow rider,,1
2019-02-23T21:54:00.000Z,nalzomboso3579,seaweed crisps vegetable chips Vegan crisps USDA kimbugak Bugak25,#seaweed #25,24
2019-01-30T03:54:14.000Z,nalzomboso3579,seaweed crisps vegetable chips Vegan crisps USDA kimbugak Bugak25,#seaweed #25,90
2018-09-11T00:52:32.000Z,a.husnulaulia,Warga panen buah rambutan di Kecamatan JuliBapak DrsZahrul Munzir M Si ikut serta dalam berbagi ilmu dan pengalaman bagi petani petani di JuliKatanyaInsyallah dengan izin Allah dan restu dari masyarakat kecamatan Juli kita bangun kesehahteraan masyarakat Juli zahrulmunziruntukdprazahrulmunzirfordpradpra2019zahrulmunzirjulikecjulikecamatanjulipetaninelayanhusnulauliauntukdprkhusnulauliafordprkdprk2019husnulauliamatanggelumpang2matangpeusangankecpeusanagankecamatanpeusangankreungbarojangkakecjangkakecamatanjangkapuloblangpulouabeukjalohbugakremajaacehacehpnapartaipnano6no11,#zahrulmunziruntukdpra #zahrulmunzirfordpra #dpra2019zahrulmunzir #juli #kecjuli #kecamatanjuli #petani #nelayan #husnulauliauntukdprk #husnulauliafordprk #dprk2019husnulaulia #matanggelumpang2 #matang #peusangan #kecpeusanagan #kecamatanpeusangan #kreungbaro #jangka #kecjangka #kecamatanjangka #puloblang #pulou #abeukjaloh #bugak #remajaaceh #aceh #pna #partaipna #no6 #no11,9
2018-09-11T00:52:32.000Z,keyla_spirulina.id,Maskeran yok Cek ig kami,,0
2018-09-11T00:52:32.000Z,konsultan_bisnis_fkc,Cantik kali ya foto,,0
2018-08-26T13:16:58.000Z,nalzomboso3579,seaweed vegetable chips Korean crisps kimbugak seaweed snack Bugak 20 25www ohs co kr,#seaweed,20
2017-04-05T12:23:27.000Z,jcho0727,Nori crisps scampi tartekingfishtunabugakricecrackeryarravalleytroutroejapanesedoublebaysakenewmenu,#kingfish #tuna #bugak #ricecracker #yarravalley #troutroe #japanese #doublebay #sake #newmenu,40
2017-04-05T12:23:27.000Z,vine.guide,This is nice,,0
2018-11-30T09:13:17.000Z,nalzomboso3579,Vegan crisps Vegetable Seaweed chips kimbugak Bugak25 www ohs co kr,#25,26
2012-07-20T14:34:00.000Z,supermhongki,Talo kasi ehHaha 4cornerssipolflipbugakumulankapa,#4corners #sipol #flip #bugak #umulankapa,3
2012-07-20T14:34:00.000Z,entengdesarapen,Pashot ngaTalo nga ba nman kase e haha tsk,,0
2018-09-10T06:26:30.000Z,choreezo,7 36 Bugak PR Oh lookand that s me hating life after pumping out a buncha watts on my first day back out Thanks for pacing motivating riding with me today paintlab,,288
2018-09-10T06:26:30.000Z,choreezo,cyclingcyclistcyclinglifebikebikesbikeliferoadbikeclimbingtrainingrecoverynamsanbugaknambukseoulkoreastravacyclingfromwhereirideoutsideisfree,#cyclist #cyclinglife #bike #bikes #bikelife #roadbike #climbing #training #recovery #namsan #bugak #nambuk #seoul #korea #stravacycling #fromwhereiride #outsideisfree,0
2018-09-10T06:26:30.000Z,kyuche,Congrats,,0
2018-09-10T06:26:30.000Z,paintlab,absolutely flyingBeast mode,,0
2016-07-21T07:03:48.000Z,j_x_8,Ride Seoul SeoulkoreaBugakridingcycle,#korea #Bugak #riding #cycle,6
2019-04-05T06:34:42.000Z,nalzomboso3579,seaweed crisps vegetable chips Vegan crisps USDA kimbugak Bugak25,#seaweed #25,17
2018-09-05T11:19:59.000Z,nalzomboso3579,seaweed vegetable chips Korean crisps kimbugak Bugak25,#25,24
2017-09-20T22:58:07.000Z,w.choi,1Year 1 2 3Bugakcrispychipstraditionalbrandinglocalinsighttripfilamentandcompany,#crispy #chips #traditional #branding #local #insighttrip #filamentandcompany,109
2017-09-27T03:05:21.000Z,millitaylor,I made BugakHave u had itIt s kinda fascinating how they re madeYou make a glutinous rice flour paste and brush the seaweeddehydrate and fryCeciliadotorybk very kindly showed me howsee on my storiesas she thought little Korean tacos could make an appearance on my canapmenusTop day bugakseaweedkoreanfoodalwayslearningmilliintheusa,#bugak #seaweed #koreanfood #alwayslearning #milliintheusa,101
2017-09-27T03:05:21.000Z,felicityspector,This is such a great trip you re having,,0
2017-09-27T03:05:21.000Z,julietgraham,Wow what a trip looks like you having an amazing timemillitaylorx,,0
2017-09-27T03:05:21.000Z,helen_goh_bakes¿Œ¡ıµ ,Love the sound of this,,0
2018-10-04T11:36:23.000Z,nalzomboso3579,seaweed vegetable chips Vegan crisps kimbugak Bugak25 www ohs co kr,#seaweed #25,36
2018-09-01T06:58:23.000Z,nalzomboso3579,seaweed vegetable chips Korean crisps kimbugak seaweed snack Bugak 20 25www ohs co kr,#seaweed,20
2017-10-05T05:53:04.000Z,benjaminwolff,Perilla bugak Perilla is a plant found mostly in Asiaand used more than most in Korean cuisineIt s part of the mint family and atatoboy it s a very key component in many of our dishesIn this method we brush it with a rice paste known in Korean as chapssal palIt s brushed on both sides of the leaf and dried over nightWe individually fry each leaf at a very low temperature and lay them on paper towelsAfterwe dehydrate them for atleast two daystill you get a sweet crispy perilla bugakour garnish for our steak dish atatoboynyc foodfoodpornnyclearnsomethingamericancookingkoreaninspirationkeeppushingcookingtruecooksinstainstagramperillakoreanbugakdehydrationstation,#atoboy #foodporn #nyc #learnsomething #americancookingkorean #inspiration #keeppushing #cooking #truecooks #insta #instagram #perilla #korean #bugak #dehydrationstation,81
2017-10-05T05:53:04.000Z,aireeese,GMO,#GMO,2
2017-10-05T05:53:04.000Z,chef_ryancarroll,themoreyouknow,#themoreyouknow,1
2017-10-05T05:53:04.000Z,elizabelle289,We coming in soon,,1
2017-10-05T05:53:04.000Z,lexxychainz,WOW,,1
2017-10-05T05:53:04.000Z,chachito04,Great,,0
2017-10-05T05:53:04.000Z,aliskaknit.official,Looking good,,0
