date,user_id,text,like,tag
2019-09-26T02:53:24.000Z,jeongjoo_pics,#남산 #사직 #북악 #북악스카이웨이 #라이딩 #사이클 #로드 #자전거#비앙키 #셈프레 #일상 #취미 #운동 #소통 #팔로우 #namsanmountain #sajik #bugak #bugakskyway #riding #cycling #cycle #road #bicycle #bianchi #sempre #everyday #daily #life #follow,46주답글 달기
2019-11-16T04:14:00.000Z,creativecassie614,"*I received discounted product in exchange for my review* 🥠HOW TO USE: open and enjoy! Has a resealable top to keep food fresh 🥠PROS: - Bugak is a kind of traditional Korean snack made under the Yung Ju, Soback Mountain in S. Korea- almost all ingredients are cultivated in the above mountain- no food additives, no artificial flavors - comes in six flavors: Pumkin, Laver, Hot Pepper, Carrot, Burdock and Potato- made to enhance the flavor of the raw materials - contains raw sugar cane and boiled salicomia herbácea salt- low price point (retails for $8.99/3 pack of 1.23oz in each bag or about 50 pieces. Can also be purchased individually for $3.99/bag) 🥠CONS:- hot pepper flavor is very hot! - Laver flavor is seaweed so some people may not enjoy that taste- Pumkin/Laver/Hot Pepper appear to be the only ones you can buy in a 3-pack (which is a better deal) 🥠OVERALL, I tried Pumkin, Laver and Hot Pepper. They taste very much like potato chips! I enjoyed the Pumkin the best, the Laver was ok but the Hot Pepper was way too hot for me. But I think they have a lot more Pros to them and they are a unique crispy chip that is fun to eat! I would love to try the other flavors and would like to see more variety in the 3-pack because that price is a better deal. Thanks to HanBuGak for allowing me to sample.#Koreanfood #vegetarian #koreansnack #bugak #HanBuGak #Pumkin #HotPepper #Laver #healthysnack #vegan #08liter #08L #ad #Sponsored",38주
2019-05-05T04:43:44.000Z,jaylancowie,Bugaksan mountain peak #achievmentunlock another section of the Seoul city wall - on a beautiful sunny day #spring #ilovekorea #iloveseoul #bugak #seoul #seoulcitywall,66주
2012-07-20T14:34:00.000Z,supermhongki,Talo kasi eh! Haha. #4corners #sipol #flip #bugak #umulankapa,420주
2012-07-20T14:34:00.000Z,entengdesarapen,Pashot nga! Talo nga ba nman kase e haha tsk!,420주답글 달기
2019-05-27T12:08:46.000Z,nalzomboso3579,#seaweed crisps#vegetable chips#Vegan crisps#USDA#김부각#kimbugak#Bugak #오희숙전통부각#식품명인25호 부각명인,63주
2017-07-11T08:12:09.000Z,taeo_importfood,คิมบูกักของมาถึงแล้วนะคะ ใครจะเอาทักเลยค่าาพร้อมส่ง พร้อมโอน ทักเลย1ซองปกติ150฿❌➡110฿❌ไม่มีผงชูรส----------------------------------------------------💬LineID: Pk03092012----------------------------------------------------#อาหารเกาหลี #ขนมเกาหลี #อาหารคลีน #ไดเอท #ขนมแคลต่ำ #อาหารนำเข้า #ขนมนำเข้า #กิมจิ #สาหร่ายบูกัก #สาหร่าย #สาหร่ายทะเล #สาหร่ายเกาหลี #ซุปสาหร่าย #คลีน #ทูโก #อยู่ท้อง #ไม่อ้วน #อร่อย #บูกัก #bugak #มื้อเช้า #อาหารสุขภาพ #healthyfood #healthy #diet #cleanfood #breakfast #korean #koreansnack #koreanfood,161주
2018-10-13T07:27:30.000Z,nalzomboso3579,#seaweed & vegetable chips#Vegan crisps#김부각#kimbugak#Bugak #오희숙전통부각#식품명인25호 부각명인#www.ohs.co.kr,95주
2017-06-29T05:04:26.000Z,iseoulu,"Bugak Skyway Palgakjeong (2).Behold how beautiful the sunset looks!This place is the great place to have a date in Seoul..There is a 'slow mailbox' that is delivered in a year from now after sending a letter. Why don't you use this mailbox to express your love?.If you want to leave good memories, stop by!.#iseoulu #Seoul #Korea #Seoultrip #Bugak #Bugakskyway #Palgakjeong #sunset #dating #mailbox #letter #love",162주
2017-06-29T05:04:26.000Z,achu_chingu,Omg awesome photography😍😍😇,162주좋아요 1개답글 달기
